player_id,name,pos,team,actual
1530,Amari Cooper,WR,CLE,24.6
224,Alec Pierce,WR,IND,7.3
378,Elijah Moore,WR,CLE,11.8
993,Marquez Valdes-Scantling,WR,KC,4.7
1238,Kendrick Bourne,WR,NE,8.600000000000001
1132,Curtis Samuel,WR,WAS,7.4
209,Treylon Burks,WR,TEN,1.5
1185,Mack Hollins,WR,ATL,3.3000000000000003
946,Michael Gallup,WR,DAL,15.200000000000001
1960,Robert Woods,WR,HOU,6.4
409,Josh Palmer,WR,LAC,14.600000000000001
383,Rashod Bateman,WR,BAL,1.6
599,Darnell Mooney,WR,CHI,0.0
991,Justin Watson,WR,KC,7.1000000000000005
740,Darius Slayton,WR,NYG,6.2
1473,Kalif Raymond,WR,DET,9.5
1536,Nelson Agholor,WR,BAL,7.9
573,Van Jefferson,WR,LAR,6.000000000000001
741,Hunter Renfrow,WR,LV,3.7
600,K.J. Osborn,WR,MIN,10.6
932,Allen Lazard,WR,NYJ,6.9
222,Skyy Moore,WR,KC,8.2
235,Romeo Doubs,WR,GB,18.3
564,Isaiah Hodgins,WR,NYG,0.0
233,Calvin Austin III,WR,PIT,15.2
398,Terrace Marshall,WR,CAR,8.5
1131,JuJu Smith-Schuster,WR,NE,1.5
730,Parris Campbell,WR,NYG,8.4
968,D.J. Chark,WR,CAR,18.6
1270,River Cracraft,WR,MIA,2.3
572,Donovan Peoples-Jones,WR,CLE,7.9
373,Rondale Moore,WR,ARI,16.2
938,Braxton Berrios,WR,MIA,5.300000000000001
1531,DeVante Parker,WR,NE,3.9000000000000004
745,Jakobi Meyers,WR,LV,15.5
379,Kadarius Toney,WR,KC,0.9
575,Jauan Jennings,WR,SF,5.1
1719,Brandin Cooks,WR,DAL,3.7
1976,Travis Kelce,TE,KC,19.9
756,T.J. Hockenson,TE,MIN,13.8
971,Mark Andrews,TE,BAL,7.5
1164,Evan Engram,TE,JAX,13.7
1187,George Kittle,TE,SF,16.0
974,Dallas Goedert,TE,PHI,9.100000000000001
1574,Darren Waller,TE,NYG,5.0
812,Donald Parham,TE,LAC,14.4
1352,Hunter Henry,TE,NE,3.7
755,Noah Fant,TE,SEA,8.100000000000001
1167,David Njoku,TE,CLE,6.0
419,Kyle Pitts,TE,ATL,8.700000000000001
586,Colby Parkinson,TE,SEA,6.800000000000001
1354,Tyler Higbee,TE,LAR,12.100000000000001
1168,Jonnu Smith,TE,ATL,8.7
972,Mike Gesicki,TE,NE,2.8
771,Josh Oliver,TE,MIN,8.4
585,Adam Trautman,TE,DEN,0.0
576,Juwan Johnson,TE,NO,3.2
980,Hayden Hurst,TE,CAR,2.1
442,Kylen Granson,TE,IND,2.9
421,Pat Freiermuth,TE,PIT,13.100000000000001
250,Trey McBride,TE,ARI,1.2
